valore,media,devstd,error
30,39.65,1.1016205513678383,9.649999999999999
31,40.635,1.1305599626493628,9.634999999999998
32,41.765,1.1252135475713894,9.765
33,42.685,1.1543124299467835,9.685000000000002
34,44.02,1.2758286301331134,10.020000000000003
35,44.545,1.20216513217824,9.545000000000002
36,46.12,1.213657622280931,10.119999999999997
37,47.355,1.2951300355737358,10.354999999999997
38,48.74,1.2571004365354776,10.740000000000002
39,49.715,1.2004082220217784,10.715000000000003
40,51.015,1.2620375166639608,11.015
41,51.775,1.140561000992461,10.774999999999999
42,52.93,1.1364672405946081,10.93
43,53.53,1.2356106459324914,10.530000000000001
44,54.69,1.067519550148731,10.689999999999998
45,56.025,1.2172854716942898,11.024999999999999
46,56.94,1.0827101673729047,10.939999999999998
47,57.825,1.1183148665306732,10.825000000000003
48,58.545,1.1509118080677374,10.545000000000002
49,59.615,1.078233712929851,10.615000000000002
50,60.7,1.060956238825861,10.700000000000003
51,61.68,1.0550667415598542,10.68
52,62.455,1.0741246289853728,10.454999999999998
53,63.345,1.0871450786857073,10.344999999999999
54,64.55,1.1463290765564633,10.549999999999997
55,65.625,1.0245111593232596,10.625
56,66.085,1.142058003085684,10.084999999999994
57,67.04,1.1020310167182432,10.040000000000006
58,67.86,1.1120174974220793,9.86
59,69.125,1.168848163856518,10.125
60,70.105,1.2253499141307764,10.105000000000004
61,70.755,1.1626408165644748,9.754999999999995
62,71.52,1.1646381023939318,9.519999999999996
63,72.64,1.1432124357995912,9.64
64,73.81,1.1534958880807054,9.810000000000002
65,74.825,1.2048374022369763,9.825000000000003
66,75.88,1.109846292947744,9.879999999999995
67,76.445,1.1149847329779317,9.444999999999993
68,77.56,1.1370419172607666,9.560000000000002
69,78.625,1.0535296023916831,9.625
70,79.315,1.1715964283637834,9.314999999999998
71,80.225,1.1964667414168195,9.224999999999994
72,80.97,1.231537014094756,8.969999999999999
73,82.14,1.2238829385346381,9.14
74,82.955,1.2452825555736657,8.954999999999998
75,84.16,1.2048478291706743,9.159999999999997
76,84.86,1.1254926336239206,8.86
77,85.54,1.1111133444980346,8.540000000000006
78,86.595,1.240430708144773,8.594999999999999
79,87.775,1.2006593665869034,8.775000000000006
80,89.13,1.2850512767666504,9.129999999999995
81,89.99,1.3261574066967627,8.989999999999995
82,91.015,1.3616332935598532,9.015
83,92.185,1.2958282502983782,9.185000000000002
84,92.95,1.3290341072716898,8.950000000000003
85,94.725,1.4663306680761687,9.724999999999994
86,95.735,1.518652867729593,9.735
87,96.75,1.3552429365561833,9.75
88,98.48,1.29148739772886,10.480000000000004
89,99.335,1.501347803185742,10.334999999999994
90,100.245,1.4159802258506298,10.245000000000005
91,101.565,1.3984107993787431,10.564999999999998
92,102.52,1.3222487317228606,10.519999999999996
