valore,media,devstd
0,20,17.45,1.0739023846040625
1,30,29.825,1.014653937589229
2,40,39.145,1.0389282262488022
3,50,50.255,1.3672313659509867
4,60,61.61,1.2712119805514295
5,70,71.95,1.2867707233506527
6,80,81.33,1.0895114390768903
7,90,90.74,1.2450505024973262
8,100,100.7,1.2237186920146026
9,110,112.16,1.495184901424314
10,120,122.345,1.297843205061622
11,130,131.795,1.191669155799722
12,140,141.21,1.3984557168390421
13,150,151.68,1.4827653100960114
14,160,161.85,1.3552429365561833
15,170,171.27,1.448305195633328
16,180,180.015,1.6334367382575452
