valore,media,devstd
0,20,13.73,0.9172276340491039
1,30,24.72,0.9466152344062767
2,40,34.62,1.0201980298454327
3,50,43.93,1.1755892353416886
4,60,55.63,1.174734012447073
5,70,64.95,1.2226916513871595
6,80,75.575,1.301091540199958
7,90,83.26,1.379097367026235
8,100,93.21,1.2504873421849674
9,110,103.58,1.3123303910511184
10,120,114.29,1.2012974560405292
11,130,122.825,1.2816348698824065
12,140,132.345,1.3620760831471226
13,150,143.055,1.4672214193731417
14,160,152.295,1.5097588745546364
15,170,161.22,1.4636637447818899
16,180,169.36,1.3820093157224804
