valore,media,devstd,error
0,7.416666666666667,1.8658313547505097,7.416666666666667
10,17.476666666666667,0.92319908147467,7.476666666666667
15,23.756666666666668,0.8523755250325237,8.756666666666668
20,29.963333333333335,0.968736491616539,9.963333333333335
25,35.373333333333335,1.0283387041845546,10.373333333333335
30,40.10333333333333,1.0374213378998856,10.103333333333332
35,44.96666666666667,1.081412841920756,9.966666666666669
40,50.15,1.1336300352655566,10.149999999999999
45,55.79666666666667,1.2083830190069302,10.796666666666667
50,60.443333333333335,1.1595707120927843,10.443333333333335
55,64.59333333333333,1.1099830765931975,9.593333333333334
5,10.873333333333333,0.9969630585043241,5.873333333333333
60,69.5,1.0198694912900443,9.5
65,74.52,1.1779467426110968,9.519999999999996
70,78.59333333333333,1.1997584297912112,8.593333333333334
75,82.98333333333333,1.1434218822866131,7.983333333333334
80,87.85,1.1967766071793176,7.849999999999994
85,92.22,1.2260822125670219,7.219999999999999
90,97.44333333333333,1.3086241679458606,7.443333333333328
95,103.33,1.4838371121018763,8.329999999999998
100,108.76333333333334,1.3416366317777635,8.763333333333335
105,114.86,1.27245056280494,9.86
110,119.33666666666667,1.2061668002626094,9.336666666666673
115,123.77333333333333,1.17753024610433,8.773333333333326
120,128.55666666666667,1.2644306380146189,8.556666666666672
125,133.43333333333334,1.229060966110691,8.433333333333337
130,138.45,1.4402828596213535,8.449999999999989
135,144.36,1.3151039227981938,9.360000000000014
140,148.94333333333333,1.3807523840437008,8.943333333333328
145,153.67333333333335,1.356252295797162,8.673333333333346
150,158.99666666666667,1.2389939098252942,8.99666666666667
155,163.57666666666665,1.312706956662118,8.576666666666654
160,167.77,1.3227239554069314,7.77000000000001
165,172.95333333333335,1.4622869643504495,7.953333333333347
170,177.67,1.4860893440374099,7.6699999999999875
