valore,media,devstd
0,20,19.955,1.048077924909888
1,30,31.485,1.074966401251265
2,40,41.78,1.0943436113481417
3,50,52.57,1.3469115985362055
4,60,63.36,1.1735784729453775
5,70,72.98,1.2953725138927195
6,80,82.305,1.2245294450559552
7,90,92.055,1.2286263114003895
8,100,102.45,1.5162437056338838
9,110,113.46,1.2065149779260094
10,120,122.67,1.2685210793058252
11,130,132.04,1.4348147850286057
12,140,142.085,1.522948409926115
13,150,152.465,1.340807152089918
14,160,161.865,1.4481924273150524
15,170,171.0,1.4903373871839192
16,180,181.36,1.704383942401353
