valore,media,devstd
0,20,20.41,0.9143743226983412
1,30,31.155,1.0326211951453041
2,40,41.13,1.0765196107650845
3,50,51.585,1.4433263507515788
4,60,62.44,1.2666578506261128
5,70,71.8,1.160488547268653
6,80,81.535,1.2675997180601337
7,90,91.175,1.257889674081477
8,100,101.48,1.5002847300951856
9,110,112.665,1.4709156892303925
10,120,121.925,1.3447739904635039
11,130,131.3,1.4070890154810523
12,140,141.095,1.6027535978675536
13,150,151.37,1.626754947215916
14,160,161.39,1.6405355174209424
15,170,170.765,1.6226335687679037
16,180,180.995,1.825276188917487
