valore,media,devstd
0,20,19.96,1.0215762773539043
1,30,31.595,1.042308512474056
2,40,41.97,1.06996454175034
3,50,52.605,1.2191829375347571
4,60,63.7,1.1776819066992725
5,70,73.175,1.2377540853818245
6,80,82.745,1.1691060880972826
7,90,91.81,1.1750761762968827
8,100,102.52,1.5497122443218305
9,110,113.57,1.2621669171045349
10,120,122.995,1.2339319023748812
11,130,132.32,1.2789757208298997
12,140,142.185,1.4461089709212422
13,150,152.38,1.4854740542430036
14,160,162.12,1.4752906195256248
15,170,171.325,1.4281361504848227
16,180,181.43,1.729176177043936
