valore,media,devstd
0,20,18.585,0.9630223571140535
1,30,29.32,1.050293091422317
2,40,39.535,1.0744988314062827
3,50,49.65,1.2019665628005016
4,60,60.78,1.3456051673249694
5,70,71.36,1.3187476928461088
6,80,81.045,1.108657116973086
7,90,90.675,1.3335165284533563
8,100,99.97,1.47648230602334
9,110,111.195,1.6675968928325948
10,120,122.21,1.3546495402444212
11,130,131.8,1.322400740544622
12,140,141.02,1.4560910016290622
13,150,151.225,1.636387429399125
14,160,161.455,1.5749212311801852
15,170,171.195,1.5521018331612502
16,180,181.035,1.5957780352193225
