valore,media,devstd
0,20,22.695,1.0184109210039434
1,30,34.585,1.1265525300735315
2,40,44.795,1.0903758975646654
3,50,55.325,1.355937992386075
4,60,66.58,1.1834707495647607
5,70,76.36,1.1254926336239206
6,80,86.04,1.1769989945475012
7,90,95.675,1.2875027443011198
8,100,105.76,1.467366971532932
9,110,117.33,1.3858944828477886
10,120,126.935,1.2997003906776508
11,130,135.99,1.3524219852289645
12,140,145.58,1.6020087892405648
13,150,156.535,1.5232783345213408
14,160,165.815,1.4144889163483614
15,170,175.3,1.3927305886144354
