valore,media,devstd
0,20,20.435,1.1053888103787521
1,30,31.94,1.1632565620471387
2,40,42.695,1.3642878754262884
3,50,54.07,1.188343723011192
4,60,65.615,1.1805692349849561
5,70,75.605,1.2597259812112684
6,80,85.12,1.1143648618052038
7,90,94.695,1.2080030450226191
8,100,104.66,1.4884479792504246
9,110,116.235,1.3781405431899607
10,120,126.0,1.2319041925809378
11,130,135.0,1.370911005472136
12,140,144.325,1.4867505290661214
13,150,155.01,1.4903036687620508
14,160,165.01,1.503730703999474
15,170,174.34,1.592823099762079
