valore,media,devstd
0,20,24.05,0.9962240267920609
1,30,35.51,0.9667330884590678
2,40,44.9,1.1118367256583195
3,50,56.5,1.4213023965759584
4,60,67.48,1.223554423446574
5,70,77.64,1.2879027398591416
6,80,87.02,1.2479530979461395
7,90,96.26,1.1701479526776855
8,100,106.795,1.4538028454944771
9,110,118.245,1.4544939889250472
10,120,127.585,1.3682600916463068
11,130,137.115,1.4112879466436707
12,140,146.695,1.5110896597485521
13,150,157.235,1.421222843842336
14,160,166.955,1.537790296163581
15,170,176.565,1.608949530894249
