valore,media,devstd
0,20,31.42,1.166362726620776
1,30,37.775,1.2458473736344913
2,40,44.83,1.2117929736779611
3,50,55.26,1.3041873035009448
4,60,64.145,1.1793768050293365
5,70,73.49,1.2236776269399416
6,80,82.025,1.2498743655456899
7,90,91.24,1.2964582600687544
8,100,100.61,1.536131014094277
9,110,111.815,1.2723479660586832
10,120,121.01,1.572342617412841
11,130,129.21,1.3912504768902099
12,140,138.58,1.3795345511763912
13,150,148.68,1.5327578848821304
14,160,154.765,1.7041996603720062
15,170,164.47,1.3558360731616608
16,180,174.14,1.5978628943516178
