valore,media,devstd
0,20,18.93,1.2581792699678704
1,30,29.975,1.1964667414168195
2,40,40.525,1.2638677972973384
3,50,51.625,1.5447674688001805
4,60,62.185,1.500678238623922
5,70,72.235,1.5367442580250186
6,80,82.165,1.738645865964711
7,90,91.015,1.7056733591283535
8,100,102.1,2.182617487210571
9,110,114.045,1.9780135713493503
10,120,124.36,1.9543534704441736
11,130,134.155,2.1573702118912688
12,140,145.155,2.353437558489399
13,150,155.0,2.205520711315176
14,160,164.82,2.254554296391392
15,170,174.27,2.891175275275058
16,180,191.265,21.408089745062806
