index,distance
0,5,
1,6,
2,9,
3,8,
4,10,
5,6,
6,8,
7,8,
8,9,
9,9,
10,6,
11,9,
12,8,
13,8,
14,8,
15,10,
16,10,
17,9,
18,10,
19,9,
20,9,
21,9,
22,9,
23,9,
24,8,
25,9,
26,9,
27,9,
28,9,
29,9,
30,8,
31,10,
32,9,
33,10,
34,10,
35,8,
36,8,
37,9,
38,9,
39,8,
40,9,
41,9,
42,10,
43,9,
44,9,
45,9,
46,8,
47,8,
48,8,
49,8,
50,10,
51,9,
52,8,
53,9,
54,9,
55,9,
56,9,
57,9,
58,9,
59,9,
60,10,
61,8,
62,8,
63,9,
64,9,
65,10,
66,8,
67,8,
68,12,
69,9,
70,9,
71,9,
72,9,
73,9,
74,11,
75,8,
76,9,
77,9,
78,7,
79,10,
80,8,
81,10,
82,8,
83,9,
84,12,
85,9,
86,8,
87,9,
88,10,
89,10,
90,11,
91,9,
92,9,
93,10,
94,10,
95,8,
96,9,
97,10,
98,9,
99,10,
100,10,
101,8,
102,9,
103,10,
104,10,
105,10,
106,8,
107,9,
108,11,
109,10,
110,9,
111,9,
112,10,
113,10,
114,9,
115,10,
116,9,
117,10,
118,10,
119,8,
120,10,
121,9,
122,10,
123,10,
124,10,
125,10,
126,9,
127,10,
128,9,
129,8,
130,9,
131,10,
132,8,
133,9,
134,8,
135,9,
136,9,
137,8,
138,7,
139,9,
140,9,
141,9,
142,9,
143,9,
144,9,
145,9,
146,10,
147,9,
148,10,
149,10,
150,11,
151,9,
152,10,
153,10,
154,9,
155,9,
156,11,
157,9,
158,10,
159,10,
160,9,
161,10,
162,9,
163,9,
164,9,
165,10,
166,10,
167,10,
168,9,
169,9,
170,10,
171,9,
172,10,
173,9,
174,9,
175,8,
176,9,
177,9,
178,8,
179,8,
180,11,
181,9,
182,11,
183,8,
184,10,
185,10,
186,8,
187,9,
188,9,
189,9,
190,10,
191,8,
192,10,
193,9,
194,9,
195,10,
196,9,
197,10,
198,10,
199,10,
200,9,
201,9,
202,9,
203,9,
204,10,
205,10,
206,10,
207,10,
208,10,
209,10,
210,8,
211,8,
212,9,
213,10,
214,9,
215,9,
216,9,
217,11,
218,10,
219,11,
220,10,
221,8,
222,9,
223,10,
224,10,
225,10,
226,10,
227,9,
228,9,
229,9,
230,7,
231,9,
232,9,
233,9,
234,10,
235,9,
236,9,
237,10,
238,9,
239,9,
240,10,
241,10,
242,9,
243,9,
244,9,
245,9,
246,9,
247,10,
248,10,
249,9,
250,8,
251,10,
252,7,
253,9,
254,9,
255,9,
256,10,
257,11,
258,9,
259,9,
260,9,
261,10,
262,11,
263,9,
264,10,
265,10,
266,9,
267,10,
268,9,
269,10,
270,7,
271,10,
272,10,
273,11,
274,8,
275,10,
276,10,
277,9,
278,10,
279,9,
280,8,
281,10,
282,9,
283,8,
284,11,
285,10,
286,9,
287,9,
288,9,
289,9,
290,8,
291,10,
292,8,
293,10,
294,8,
295,8,
296,9,
297,11,
298,9,
299,9,
300,11,
301,9,
302,10,
303,9,
304,9,
305,10,
306,10,
307,9,
308,9,
309,9,
310,10,
311,10,
312,9,
313,9,
314,9,
315,9,
316,9,
317,8,
318,9,
319,9,
320,9,
321,9,
322,8,
323,8,
324,10,
325,9,
326,9,
327,9,
328,10,
329,12,
330,9,
331,9,
332,8,
333,9,
334,10,
335,10,
336,10,
337,8,
338,9,
339,10,
340,9,
341,9,
342,9,
343,9,
344,9,
345,10,
346,9,
347,12,
348,9,
349,9,
350,8,
351,8,
352,10,
353,10,
354,9,
355,9,
356,10,
357,11,
358,10,
359,11,
360,10,
361,8,
362,9,
363,10,
364,10,
365,9,
366,11,
367,10,
368,11,
369,9,
370,8,
371,8,
372,11,
373,11,
374,9,
375,7,
376,7,
377,8,
378,9,
379,8,
380,9,
381,10,
382,9,
383,9,
384,8,
385,8,
386,10,
387,9,
388,9,
389,9,
390,8,
391,10,
392,9,
393,9,
394,10,
395,9,
396,8,
397,9,
398,9,
399,9,
400,10,
401,9,
402,9,
403,8,
404,9,
405,10,
406,9,
407,10,
408,10,
409,9,
410,10,
411,9,
412,8,
413,10,
414,10,
415,9,
416,9,
417,9,
418,9,
419,10,
420,9,
421,10,
422,10,
423,10,
424,10,
425,8,
426,9,
427,10,
428,9,
429,8,
430,10,
431,10,
432,10,
433,9,
434,9,
435,10,
436,9,
437,7,
438,8,
439,10,
440,11,
441,9,
442,9,
443,11,
444,10,
445,8,
446,9,
447,10,
448,10,
449,7,
450,9,
451,8,
452,10,
453,9,
454,10,
455,10,
456,8,
457,9,
458,11,
459,9,
460,9,
461,10,
462,10,
463,8,
464,11,
465,9,
466,9,
467,10,
468,9,
469,9,
470,9,
471,10,
472,11,
473,10,
474,10,
475,9,
476,10,
477,10,
478,10,
479,9,
480,11,
481,9,
482,8,
483,8,
484,9,
485,7,
486,10,
487,8,
488,10,
489,9,
490,9,
491,11,
492,11,
493,10,
494,8,
495,8,
496,9,
497,9,
498,8,
499,9,
