index,distance
0,0.30921
1,0.27389
2,0.30921
3,0.30939
4,0.29858
5,0.36667
6,0.31385
7,0.38519
8,0.31333
9,0.33117
10,0.31796
11,0.32739
12,0.32636
13,0.30047
14,0.31385
15,0.32482
16,0.086264
17,0.30939
18,0.3135
19,0.32276
20,0.32465
21,0.32671
22,0.31796
23,0.32311
24,0.43578
25,0.30681
26,0.32311
27,0.30921
28,0.30939
29,0.35089
30,0.32379
31,0.30921
32,0.32516
33,0.32654
34,0.3039
35,0.32671
36,0.31796
37,0.32482
38,0.30921
39,0.32705
40,0.32568
41,0.30921
42,0.31385
43,0.31385
44,0.30939
45,0.32414
46,0.31385
47,0.30921
48,0.32431
49,0.28606
50,0.32568
51,0.30921
52,0.32997
53,0.30939
54,0.32636
55,0.30921
56,0.30939
57,0.31385
58,0.31779
59,0.32585
60,0.32482
61,0.32516
62,0.32414
63,0.30939
64,0.27697
65,0.31385
66,0.32516
67,0.31385
68,0.32414
69,0.32739
70,0.29721
71,0.32722
72,0.30921
73,0.32396
74,0.30956
75,0.30921
76,0.32636
77,0.30939
78,0.30939
79,0.35157
80,0.32328
81,0.30921
82,0.32448
83,0.32654
84,0.29721
85,0.32585
86,0.30921
87,0.32602
88,0.30939
89,0.33065
90,0.31385
91,0.31385
92,0.32739
93,0.35089
94,0.32379
95,0.31367
96,0.32448
97,0.31385
98,0.30939
99,0.28486
100,0.30939
101,0.30921
102,0.30921
103,0.31385
104,0.32345
105,0.32534
106,0.30921
107,0.30939
108,0.35466
109,0.32431
110,0.32362
111,0.32791
112,0.32739
113,0.30338
114,0.32431
115,0.31385
116,0.32534
117,0.30921
118,0.30939
119,0.32448
120,0.31385
121,0.27183
122,0.31385
123,0.34094
124,0.32414
125,0.32499
126,0.32654
127,0.30939
128,0.28315
129,0.31367
130,0.31367
131,0.35106
132,0.32448
133,0.32173
134,0.31385
135,0.2804
136,0.31385
137,0.32414
138,0.32551
139,0.30921
140,0.30939
141,0.32345
142,0.30973
143,0.31385
144,0.30921
145,0.32396
146,0.31367
147,0.32671
148,0.31367
149,0.30956
150,0.26943
151,0.30921
152,0.35055
153,0.30493
154,0.32585
155,0.32671
156,0.30921
157,0.31385
158,0.30921
159,0.31162
160,0.32499
161,0.32448
162,0.32636
163,0.31367
164,0.30064
165,0.31367
166,0.349
167,0.32225
168,0.32328
169,0.32465
170,0.31367
171,0.2756
172,0.30939
173,0.35175
174,0.31024
175,0.32465
176,0.32379
177,0.30939
178,0.31385
179,0.3099
180,0.32551
181,0.30904
182,0.32688
183,0.32791
184,0.30184
185,0.32585
186,0.30921
187,0.32551
188,0.31385
189,0.31385
190,0.32328
191,0.30956
192,0.32722
193,0.30921
194,0.34917
195,0.31282
196,0.32345
197,0.32671
198,0.30921
199,0.31367
200,0.31385
201,0.30956
202,0.34334
203,0.32414
204,0.32379
205,0.30939
206,0.31385
207,0.30956
208,0.30578
209,0.30836
210,0.32448
211,0.32945
212,0.31385
213,0.30921
214,0.30921
215,0.32499
216,0.31367
217,0.32654
218,0.31385
219,0.31367
220,0.28195
221,0.31385
222,0.34849
223,0.35003
224,0.32482
225,0.32448
226,0.31385
227,0.28658
228,0.30939
229,0.35055
230,0.32311
231,0.32345
232,0.32499
233,0.31385
234,0.27268
235,0.31367
236,0.32448
237,0.31367
238,0.32568
239,0.32585
240,0.30921
241,0.32962
242,0.31179
243,0.33168
244,0.30939
245,0.32756
246,0.32877
247,0.29721
248,0.32516
249,0.31367
250,0.32791
251,0.30921
252,0.30921
253,0.32362
254,0.31367
255,0.30098
256,0.30939
257,0.31385
258,0.32619
259,0.30939
260,0.32551
261,0.32808
262,0.29824
263,0.31385
264,0.32293
265,0.32602
266,0.31385
267,0.31367
268,0.32465
269,0.31367
270,0.29532
271,0.30956
272,0.31385
273,0.32791
274,0.31385
275,0.32774
276,0.30921
277,0.30921
278,0.29138
279,0.30956
280,0.30956
281,0.32705
282,0.30939
283,0.32328
284,0.32534
285,0.30287
286,0.32465
287,0.30973
288,0.32293
289,0.31385
290,0.32739
291,0.32551
292,0.31385
293,0.30973
294,0.30956
295,0.30836
296,0.32396
297,0.32465
298,0.32448
299,0.31385
300,0.30973
301,0.35089
302,0.32602
303,0.30973
