index,distance
0,103
1,103
2,105
3,103
4,106
5,102
6,103
7,103
8,105
9,104
10,105
11,105
12,103
13,105
14,102
15,105
16,103
17,104
18,102
19,101
20,103
21,103
22,106
23,105
24,103
25,103
26,103
27,102
28,102
29,104
30,101
31,105
32,103
33,104
34,101
35,106
36,101
37,103
38,106
39,104
40,104
41,105
42,104
43,103
44,104
45,105
46,103
47,104
48,105
49,101
50,103
51,103
52,102
53,103
54,102
55,105
56,102
57,104
58,104
59,103
60,103
61,103
62,102
63,103
64,102
65,104
66,106
67,104
68,106
69,103
70,103
71,103
72,104
73,101
74,103
75,102
76,105
77,103
78,105
79,104
80,102
81,103
82,104
83,102
84,103
85,102
86,106
87,103
88,105
89,102
90,106
91,102
92,103
93,104
94,103
95,103
96,104
97,102
98,103
99,106
100,104
101,102
102,103
103,104
104,103
105,103
106,101
107,103
108,102
109,102
110,103
111,103
112,103
113,103
114,105
115,103
116,105
117,106
118,104
119,103
120,103
121,104
122,102
123,104
124,103
125,106
126,102
127,105
128,104
129,102
130,104
131,105
132,105
133,102
134,104
135,106
136,104
137,105
138,101
139,104
140,106
141,104
142,107
143,103
144,104
145,103
146,105
147,104
148,103
149,102
150,104
151,104
152,106
153,103
154,104
155,104
156,103
157,105
158,102
159,103
160,104
161,103
162,102
163,102
164,104
165,105
166,104
167,104
168,104
169,105
170,102
171,104
172,102
173,101
174,102
175,104
176,104
177,105
178,106
179,104
180,104
181,103
182,102
183,104
184,106
185,103
186,100
187,102
188,104
189,104
190,102
191,105
192,105
193,105
194,100
195,105
196,103
197,104
198,103
199,103
200,103
201,102
202,102
203,104
204,106
205,103
206,103
207,104
208,103
209,103
210,103
211,104
212,103
213,103
214,106
215,105
216,106
217,104
218,102
219,103
220,103
221,106
222,105
223,105
224,101
225,106
226,102
227,103
228,101
229,105
230,101
231,103
232,102
233,102
234,102
235,103
236,103
237,101
238,105
239,103
240,104
241,102
242,107
243,102
244,102
245,103
246,102
247,103
248,103
249,106
250,101
251,103
252,102
253,101
254,102
255,104
256,103
257,101
258,104
259,102
260,102
261,105
262,102
263,102
264,103
265,100
266,105
267,105
268,102
269,104
270,101
271,104
272,106
273,103
274,106
275,100
276,104
277,101
278,100
279,101
280,102
281,104
282,106
283,102
284,103
285,103
286,101
287,104
288,104
289,102
290,102
291,105
292,105
293,104
294,104
295,103
296,103
297,102
298,102
299,103
300,101
301,104
302,103
303,103
304,103
305,106
306,102
307,105
308,103
309,104
310,105
311,103
312,103
313,103
314,103
315,101
316,103
317,103
318,105
319,105
320,105
321,106
322,104
323,104
324,103
325,104
326,102
327,105
328,102
329,103
330,104
331,103
332,105
333,104
334,103
335,104
336,104
337,106
338,104
339,103
340,101
341,102
342,103
343,104
344,104
345,105
346,104
347,102
348,102
349,103
350,106
351,104
352,103
353,101
354,105
355,103
356,103
357,106
358,101
359,106
360,102
361,104
362,104
363,104
364,105
365,105
366,103
367,104
368,103
369,103
370,105
371,104
372,102
373,102
374,102
375,101
376,102
377,103
378,103
379,103
380,102
381,103
382,105
383,104
384,105
385,104
386,105
387,105
388,102
389,104
390,104
391,104
392,102
393,106
394,104
395,105
396,103
397,106
398,102
399,105
400,104
401,105
402,103
403,103
404,104
405,103
406,102
407,104
408,102
409,104
410,101
411,105
412,104
413,101
414,105
415,103
416,104
417,104
418,103
419,104
420,103
421,106
422,103
423,105
424,102
425,104
426,102
427,106
428,105
429,104
430,103
431,104
432,104
433,102
434,104
435,102
436,102
437,102
438,104
439,102
440,103
441,103
442,105
443,104
444,102
445,103
446,105
447,101
448,103
449,104
450,104
451,104
452,106
453,102
454,104
455,103
456,103
457,104
458,105
459,104
460,106
461,102
462,101
463,102
464,103
465,101
466,106
467,103
468,104
469,104
470,104
471,104
472,104
473,104
474,103
475,108
476,102
477,102
478,104
479,104
480,106
481,104
482,106
483,103
484,104
485,104
486,105
487,102
488,103
489,106
490,104
491,102
492,103
493,105
494,105
495,102
496,105
497,104
498,103
499,103
