index,valore,media,devstd
0,20,18.142,3.2703557073972567
1,30,6.35,1.0797368491103068
2,40,7.584,3.5502327113316414
3,50,53.762,1.3178883334025826
4,60,64.23,1.1797812371516467
5,70,74.0,1.1928309567506896
6,80,83.604,1.165289577572544
7,90,93.468,1.1797285785459621
8,100,103.462,1.4030299305331813
9,110,114.824,1.4244585512848935
10,120,124.196,1.3465550196117808
11,130,133.664,1.2831199451287376
12,140,143.968,1.512465239998728
13,150,154.122,1.4265995838866246
14,160,163.968,1.5031616646189325
15,170,173.306,1.4740113360614548
16,180,184.032,7.318887088651722
