index,distance
0,47
1,48
2,48
3,44
4,48
5,45
6,47
7,48
8,47
9,48
10,43
11,46
12,46
13,45
14,47
15,46
16,44
17,46
18,47
19,46
20,44
21,44
22,45
23,45
24,45
25,46
26,47
27,45
28,46
29,45
30,43
31,42
32,44
33,42
34,42
35,40
36,42
37,40
38,41
39,37
40,38
41,40
42,39
43,39
44,41
45,39
46,39
47,39
48,41
49,43
50,41
51,43
52,43
53,42
54,43
55,43
56,43
57,43
58,44
59,46
60,44
61,42
62,46
63,45
64,44
65,45
66,46
67,45
68,45
69,46
70,45
71,45
72,45
73,46
74,45
75,48
76,44
77,45
78,46
79,44
80,45
81,46
82,45
83,46
84,45
85,44
86,42
87,45
88,46
89,45
90,45
91,46
92,44
93,41
94,45
95,44
96,43
97,46
98,44
99,45
100,42
101,45
102,44
103,44
104,44
105,44
106,43
107,44
108,45
109,45
110,41
111,44
112,43
113,43
114,45
115,44
116,45
117,44
118,44
119,44
120,44
121,44
122,46
123,45
124,44
125,43
126,42
127,43
128,44
129,46
130,43
131,44
132,43
133,44
134,45
135,43
136,43
137,44
138,45
139,43
140,42
141,45
142,42
143,44
144,43
145,44
146,43
147,42
148,44
149,43
150,42
151,44
152,45
153,44
154,43
155,42
156,45
157,45
158,45
159,46
160,45
161,44
162,45
163,44
164,40
165,44
166,43
167,45
168,44
169,43
170,44
171,43
172,44
173,44
174,45
175,45
176,43
177,45
178,45
179,45
180,45
181,45
182,45
183,46
184,44
185,45
186,44
187,44
188,46
189,45
190,44
191,44
192,44
193,44
194,46
195,47
196,45
197,46
198,46
199,45
200,46
201,47
202,46
203,46
204,46
205,45
206,44
207,44
208,45
209,46
210,44
211,46
212,45
213,45
214,44
215,46
216,45
217,47
218,45
219,45
220,45
221,46
222,48
223,46
224,46
225,45
226,45
227,46
228,46
229,47
230,44
231,44
232,47
233,44
234,46
235,46
236,45
237,45
238,46
239,45
240,45
241,47
242,44
243,44
244,47
245,45
246,45
247,45
248,48
249,45
250,45
251,45
252,45
253,45
254,47
255,44
256,47
257,47
258,45
259,45
260,45
261,44
262,44
263,45
264,45
265,45
266,47
267,44
268,45
269,46
270,45
271,46
272,44
273,46
274,47
275,45
276,44
277,46
278,45
279,43
280,46
281,44
282,47
283,45
284,46
285,48
286,45
287,46
288,46
289,45
290,46
291,45
292,44
293,46
294,48
295,46
296,46
297,44
298,47
299,46
300,45
301,44
302,47
303,47
304,46
305,47
306,46
307,46
308,45
309,45
310,46
311,45
312,47
313,46
314,46
315,46
316,46
317,47
318,47
319,48
320,46
321,47
322,45
323,46
324,45
325,46
326,48
327,45
328,45
329,45
330,45
331,47
332,45
333,47
334,46
335,46
336,46
337,45
338,45
339,47
340,46
341,46
342,44
343,45
344,45
345,45
346,45
347,45
348,46
349,44
350,45
351,47
352,45
353,45
354,49
355,47
356,46
357,46
358,45
359,48
360,47
361,45
362,43
363,46
364,45
365,46
366,45
367,46
368,46
369,45
370,46
371,46
372,46
373,46
374,45
375,46
376,44
377,48
378,47
379,46
380,48
381,46
382,46
383,45
384,47
385,46
386,45
387,44
388,47
389,46
390,46
391,44
392,45
393,46
394,47
395,46
396,44
397,46
398,46
399,47
400,46
401,45
402,45
403,46
404,48
405,44
406,46
407,46
408,46
409,46
410,47
411,44
412,46
413,47
414,46
415,47
416,46
417,47
418,48
419,45
420,44
421,46
422,44
423,45
424,46
425,46
426,46
427,47
428,46
429,46
430,44
431,45
432,48
433,46
434,44
435,45
436,47
437,46
438,45
439,46
440,45
441,45
442,46
443,46
444,47
445,46
446,46
447,47
448,47
449,46
450,46
451,44
452,46
453,45
454,44
455,46
456,46
457,45
458,45
459,46
460,47
461,45
462,48
463,48
464,46
465,44
466,45
467,47
468,46
469,44
470,46
471,44
472,45
473,46
474,46
475,46
476,47
477,47
478,48
479,46
480,46
481,45
482,44
483,44
484,46
485,46
486,47
487,45
488,47
489,47
490,46
491,46
492,47
493,46
494,46
495,47
496,47
497,45
498,45
499,45
