index,distance
0,126
1,124
2,125
3,126
4,125
5,125
6,127
7,125
8,125
9,127
10,127
11,127
12,126
13,126
14,124
15,127
16,128
17,125
18,125
19,126
20,128
21,127
22,127
23,124
24,126
25,126
26,126
27,123
28,126
29,126
30,127
31,125
32,125
33,127
34,126
35,125
36,126
37,122
38,126
39,125
40,125
41,126
42,127
43,125
44,125
45,123
46,126
47,124
48,126
49,130
50,127
51,125
52,125
53,126
54,126
55,126
56,126
57,125
58,126
59,126
60,128
61,125
62,124
63,125
64,126
65,125
66,128
67,127
68,124
69,124
70,125
71,124
72,125
73,126
74,124
75,126
76,123
77,123
78,124
79,125
80,127
81,125
82,127
83,125
84,126
85,124
86,125
87,126
88,122
89,125
90,127
91,125
92,126
93,124
94,124
95,126
96,127
97,127
98,127
99,127
100,126
101,127
102,124
103,126
104,124
105,126
106,124
107,126
108,124
109,127
110,124
111,125
112,126
113,126
114,124
115,123
116,124
117,124
118,126
119,127
120,127
121,126
122,125
123,126
124,126
125,124
126,125
127,123
128,124
129,127
130,125
131,126
132,125
133,125
134,126
135,125
136,128
137,126
138,128
139,126
140,124
141,125
142,126
143,125
144,124
145,126
146,127
147,125
148,126
149,123
150,127
151,124
152,125
153,126
154,126
155,125
156,126
157,128
158,127
159,122
160,125
161,125
162,124
163,124
164,129
165,125
166,126
167,126
168,125
169,126
170,125
171,128
172,127
173,124
174,126
175,127
176,126
177,124
178,125
179,125
180,125
181,126
182,126
183,126
184,126
185,124
186,126
187,126
188,124
189,126
190,125
191,127
192,124
193,128
194,128
195,127
196,126
197,126
198,127
199,128
200,124
201,127
202,125
203,127
204,129
205,126
206,125
207,127
208,127
209,126
210,126
211,123
212,127
213,125
214,127
215,127
216,128
217,127
218,127
219,124
220,124
221,126
222,124
223,125
224,125
225,126
226,125
227,125
228,126
229,127
230,125
231,126
232,128
233,126
234,126
235,125
236,126
237,128
238,125
239,127
240,127
241,126
242,124
243,127
244,128
245,126
246,127
247,127
248,126
249,125
250,125
251,126
252,126
253,126
254,125
255,124
256,128
257,125
258,126
259,123
260,127
261,127
262,126
263,127
264,126
265,127
266,125
267,126
268,126
269,128
270,127
271,126
272,129
273,128
274,125
275,127
276,127
277,127
278,127
279,128
280,126
281,127
282,126
283,127
284,127
285,124
286,126
287,127
288,124
289,126
290,129
291,126
292,126
293,129
294,126
295,124
296,126
297,126
298,127
299,126
300,125
301,126
302,125
303,126
304,125
305,127
306,129
307,128
308,126
309,125
310,125
311,125
312,125
313,127
314,130
315,128
316,128
317,130
318,128
319,128
320,129
321,130
322,128
323,128
324,131
325,130
326,129
327,128
328,127
329,128
330,130
331,130
332,129
333,128
334,129
335,129
336,131
337,130
338,129
339,130
340,129
341,125
342,128
343,128
344,126
345,129
346,128
347,130
348,131
349,129
350,128
351,127
352,128
353,129
354,131
355,129
356,129
357,130
358,130
359,127
360,130
361,130
362,128
363,128
364,128
365,126
366,129
367,127
368,128
369,128
370,128
371,128
372,129
373,129
374,128
375,128
376,129
377,129
378,126
379,127
380,127
381,128
382,132
383,129
384,128
385,131
386,130
387,128
388,131
389,130
390,129
391,127
392,128
393,126
394,129
395,129
396,128
397,129
398,132
399,125
400,129
401,129
402,129
403,130
404,131
405,129
406,128
407,129
408,128
409,128
410,130
411,126
412,127
413,132
414,129
415,127
416,129
417,130
418,128
419,129
420,130
421,126
422,129
423,129
424,128
425,130
426,128
427,131
428,129
429,129
430,127
431,128
432,128
433,128
434,128
435,130
436,128
437,127
438,129
439,129
440,128
441,131
442,130
443,128
444,128
445,129
446,131
447,130
448,128
449,131
450,126
451,128
452,130
453,128
454,130
455,129
456,130
457,128
458,129
459,129
460,129
461,129
462,131
463,128
464,128
465,129
466,130
467,129
468,129
469,130
470,129
471,130
472,127
473,130
474,126
475,127
476,129
477,132
478,128
479,129
480,129
481,129
482,129
483,130
484,129
485,128
486,129
487,130
488,130
489,129
490,130
491,129
492,128
493,133
494,128
495,129
496,128
497,131
498,127
499,132
