index,distance
0,25
1,25
2,26
3,26
4,25
5,23
6,25
7,25
8,23
9,26
10,24
11,24
12,25
13,25
14,23
15,24
16,25
17,25
18,25
19,25
20,25
21,25
22,25
23,25
24,24
25,24
26,24
27,24
28,23
29,26
30,24
31,25
32,25
33,25
34,23
35,25
36,25
37,25
38,25
39,25
40,24
41,25
42,25
43,25
44,24
45,26
46,24
47,25
48,22
49,23
50,23
51,25
52,25
53,25
54,25
55,25
56,26
57,25
58,24
59,25
60,24
61,25
62,24
63,24
64,25
65,25
66,24
67,26
68,25
69,24
70,23
71,24
72,24
73,24
74,25
75,25
76,24
77,25
78,24
79,27
80,24
81,23
82,27
83,23
84,26
85,24
86,26
87,26
88,23
89,24
90,25
91,24
92,25
93,24
94,26
95,23
96,23
97,24
98,25
99,25
100,25
101,24
102,25
103,24
104,26
105,25
106,25
107,24
108,26
109,23
110,24
111,26
112,24
113,26
114,25
115,25
116,25
117,27
118,23
119,25
120,25
121,23
122,26
123,25
124,25
125,25
126,24
127,25
128,25
129,24
130,24
131,25
132,26
133,23
134,24
135,25
136,26
137,24
138,25
139,24
140,25
141,24
142,25
143,25
144,24
145,24
146,24
147,26
148,25
149,25
150,25
151,24
152,25
153,24
154,23
155,24
156,25
157,25
158,24
159,25
160,24
161,25
162,25
163,25
164,23
165,23
166,24
167,24
168,25
169,25
170,24
171,24
172,23
173,25
174,25
175,24
176,24
177,23
178,24
179,25
180,24
181,24
182,25
183,24
184,25
185,24
186,25
187,24
188,26
189,23
190,24
191,24
192,25
193,24
194,23
195,23
196,23
197,24
198,25
199,25
200,24
201,24
202,26
203,24
204,24
205,26
206,24
207,25
208,25
209,24
210,24
211,23
212,24
213,25
214,25
215,27
216,24
217,26
218,25
219,24
220,25
221,24
222,25
223,25
224,25
225,23
226,26
227,24
228,26
229,24
230,26
231,24
232,25
233,27
234,25
235,26
236,25
237,24
238,25
239,24
240,26
241,27
242,25
243,23
244,26
245,24
246,24
247,27
248,26
249,25
250,25
251,26
252,25
253,25
254,23
255,23
256,25
257,25
258,24
259,24
260,24
261,24
262,24
263,24
264,23
265,24
266,25
267,24
268,24
269,24
270,24
271,25
272,25
273,24
274,25
275,25
276,24
277,25
278,25
279,25
280,23
281,25
282,26
283,24
284,24
285,24
286,24
287,23
288,23
289,26
290,24
291,23
292,23
293,25
294,24
295,25
296,24
297,25
298,26
299,25
300,25
301,24
302,25
303,23
304,25
305,23
306,26
307,25
308,24
309,24
310,25
311,24
312,24
313,24
314,25
315,25
316,23
317,25
318,24
319,24
320,24
321,25
322,26
323,24
324,24
325,25
326,25
327,26
328,24
329,25
330,26
331,26
332,25
333,24
334,24
335,26
336,25
337,26
338,25
339,23
340,24
341,25
342,24
343,25
344,24
345,25
346,26
347,23
348,24
349,22
350,25
351,25
352,23
353,25
354,26
355,24
356,25
357,24
358,24
359,25
360,26
361,25
362,26
363,24
364,23
365,24
366,25
367,24
368,25
369,24
370,25
371,23
372,24
373,25
374,26
375,25
376,24
377,24
378,24
379,26
380,24
381,24
382,25
383,24
384,23
385,25
386,25
387,25
388,23
389,25
390,23
391,24
392,25
393,23
394,22
395,24
396,24
397,24
398,25
399,24
400,24
401,25
402,25
403,24
404,24
405,24
406,24
407,24
408,25
409,23
410,23
411,24
412,25
413,24
414,24
415,24
416,25
417,25
418,26
419,25
420,25
421,26
422,25
423,26
424,26
425,26
426,25
427,24
428,26
429,25
430,24
431,25
432,26
433,25
434,26
435,25
436,25
437,27
438,24
439,25
440,25
441,24
442,25
443,25
444,25
445,24
446,24
447,23
448,26
449,24
450,24
451,24
452,25
453,26
454,25
455,23
456,26
457,25
458,24
459,25
460,26
461,25
462,24
463,23
464,27
465,25
466,27
467,25
468,23
469,24
470,25
471,26
472,23
473,24
474,23
475,24
476,24
477,26
478,26
479,25
480,25
481,25
482,25
483,25
484,26
485,25
486,26
487,25
488,26
489,24
490,26
491,24
492,25
493,25
494,25
495,26
496,25
497,24
498,25
499,24
