index,distance
0,72,
1,68,
2,61,
3,65,
4,65,
5,67,
6,64,
7,68,
8,66,
9,66,
10,66,
11,66,
12,67,
13,67,
14,66,
15,67,
16,65,
17,66,
18,66,
19,67,
20,68,
21,71,
22,83,
23,87,
24,88,
25,87,
26,82,
27,89,
28,88,
29,90,
30,86,
31,83,
32,85,
33,88,
34,85,
35,92,
36,91,
37,95,
38,98,
39,96,
40,101,
41,99,
42,102,
43,99,
44,100,
45,100,
46,99,
47,102,
48,102,
49,101,
50,99,
51,103,
52,101,
53,98,
54,99,
55,99,
56,96,
57,100,
58,100,
59,95,
60,95,
61,93,
62,93,
63,89,
64,92,
65,87,
66,89,
67,85,
68,83,
69,84,
70,82,
71,82,
72,80,
73,82,
74,80,
75,82,
76,82,
77,82,
78,81,
79,82,
80,83,
81,81,
82,83,
83,80,
84,80,
85,79,
86,78,
87,81,
88,81,
89,79,
90,80,
91,81,
92,79,
93,79,
94,80,
95,80,
96,79,
97,79,
98,81,
99,78,
