index,distance
0,102,
1,100,
2,101,
3,101,
4,102,
5,104,
6,100,
7,101,
8,100,
9,100,
10,102,
11,101,
12,103,
13,101,
14,98,
15,98,
16,103,
17,100,
18,101,
19,101,
20,100,
21,102,
22,102,
23,101,
24,102,
25,99,
26,100,
27,101,
28,95,
29,97,
30,97,
31,96,
32,96,
33,95,
34,91,
35,97,
36,97,
37,99,
38,95,
39,94,
40,94,
41,96,
42,97,
43,95,
44,93,
45,92,
46,96,
47,96,
48,96,
49,96,
50,97,
51,95,
52,95,
53,93,
54,100,
55,96,
56,95,
57,95,
58,99,
59,96,
60,95,
61,97,
62,95,
63,95,
64,95,
65,95,
66,95,
67,95,
68,97,
69,99,
70,97,
71,97,
72,96,
73,97,
74,95,
75,96,
76,93,
77,93,
78,94,
79,92,
80,93,
81,97,
82,92,
83,94,
84,96,
85,95,
86,91,
87,94,
88,93,
89,94,
90,93,
91,92,
92,93,
93,93,
94,91,
95,93,
96,93,
97,92,
98,91,
99,90,
