index,distance
0,82,
1,80,
2,81,
3,84,
4,83,
5,81,
6,80,
7,81,
8,79,
9,79,
10,80,
11,82,
12,80,
13,80,
14,79,
15,83,
16,79,
17,79,
18,79,
19,79,
20,79,
21,82,
22,77,
23,80,
24,78,
25,81,
26,81,
27,82,
28,77,
29,81,
30,81,
31,80,
32,81,
33,79,
34,82,
35,80,
36,80,
37,76,
38,82,
39,81,
40,82,
41,79,
42,81,
43,80,
44,79,
45,79,
46,78,
47,79,
48,78,
49,79,
50,81,
51,80,
52,79,
53,80,
54,80,
55,80,
56,80,
57,81,
58,80,
59,80,
60,82,
61,80,
62,79,
63,80,
64,81,
65,79,
66,81,
67,79,
68,81,
69,82,
70,79,
71,78,
72,80,
73,78,
74,80,
75,78,
76,79,
77,80,
78,79,
79,81,
80,79,
81,80,
82,78,
83,78,
84,80,
85,80,
86,82,
87,79,
88,81,
89,79,
90,79,
91,79,
92,79,
93,80,
94,79,
95,80,
96,80,
97,79,
98,80,
99,81,
