index,distance
0,0.32606
1,0.34493
2,0.39661
3,0.35972
4,0.35666
5,0.37961
6,0.33677
7,0.35955
8,0.33864
9,0.36142
10,0.36414
11,0.3621
12,0.35989
13,0.33337
14,0.35989
15,0.38692
16,0.35972
17,0.3706
18,0.34255
19,0.34986
20,0.35989
21,0.35972
22,0.36006
23,0.37349
24,0.37723
25,0.36312
26,0.37672
27,0.37145
28,0.36839
29,0.3349
30,0.3638
31,0.36159
32,0.35989
33,0.35989
34,0.37485
35,0.36635
36,0.35972
37,0.32334
38,0.35989
39,0.38012
40,0.35955
41,0.37757
42,0.36312
43,0.35972
44,0.35955
45,0.32776
46,0.35972
47,0.38369
48,0.35955
49,0.35938
50,0.37179
51,0.3366
52,0.35972
53,0.32589
54,0.36431
55,0.374
56,0.36414
57,0.35972
58,0.36686
59,0.35955
60,0.35972
61,0.33286
62,0.35955
63,0.34629
64,0.36414
65,0.3689
66,0.36924
67,0.38284
68,0.35972
69,0.35972
70,0.35989
71,0.38862
72,0.35989
73,0.37808
74,0.36737
75,0.34731
76,0.35972
77,0.34187
78,0.36006
79,0.37451
80,0.35955
81,0.36261
82,0.36703
83,0.3621
84,0.36414
85,0.35989
86,0.35989
87,0.37553
88,0.35972
89,0.35972
90,0.35972
91,0.36261
92,0.35972
93,0.32895
94,0.35972
95,0.36788
96,0.35989
97,0.35598
98,0.36856
99,0.36176
