index,distance
0,0.80138,
1,0.79441,
2,0.79866,
3,0.7905,
4,0.79866,
5,0.78999,
6,0.7786,
7,0.78948,
8,0.79832,
9,0.76959,
10,0.79798,
11,0.79781,
12,0.79322,
13,0.79288,
14,0.79254,
15,0.79237,
16,0.7922,
17,0.79628,
18,0.79186,
19,0.73083,
20,0.79118,
21,0.79713,
22,0.77894,
23,0.7905,
24,0.74834,
25,0.79033,
26,0.79475,
27,0.79084,
28,0.77214,
29,0.79033,
30,0.79458,
31,0.79033,
32,0.79016,
33,0.7905,
34,0.7905,
35,0.79016,
36,0.79475,
37,0.77316,
38,0.79016,
39,0.79883,
40,0.79033,
41,0.79033,
42,0.799,
43,0.79883,
44,0.79033,
45,0.79067,
46,0.7905,
47,0.79016,
48,0.77741,
49,0.79067,
50,0.79067,
51,0.7905,
52,0.79492,
53,0.79475,
54,0.7905,
55,0.77078,
56,0.7905,
57,0.79033,
58,0.79033,
59,0.799,
60,0.79441,
61,0.81039,
62,0.79033,
63,0.79033,
64,0.77707,
65,0.79016,
66,0.79458,
67,0.79883,
68,0.79492,
69,0.7905,
70,0.74817,
71,0.79033,
72,0.79033,
73,0.79067,
74,0.7803,
75,-169.2,
76,0.79033,
77,0.79016,
78,0.79475,
79,0.79033,
80,0.79033,
81,0.79033,
82,0.79883,
83,0.79033,
84,0.78982,
85,0.79441,
86,0.79509,
87,0.79883,
88,0.79458,
89,0.79458,
90,0.82025,
91,0.78999,
92,0.79458,
93,0.78999,
94,0.76806,
95,0.77656,
96,0.79866,
97,0.79016,
98,0.78999,
99,0.7905,
