index,distance
0,77.689
1,98.955
2,87.636
3,94.84
4,95.868
5,104.79
6,94.325
7,98.441
8,107.19
9,98.441
10,102.39
11,102.56
12,94.325
13,104.1
14,107.36
15,98.784
16,103.41
17,107.19
18,107.19
19,75.975
20,98.955
21,98.784
22,104.1
23,98.955
24,112.5
25,126.57
26,98.784
27,102.21
28,103.07
29,107.19
30,125.71
31,60.025
32,103.41
33,99.47
34,73.23
35,109.59
36,63.97
37,103.07
38,91.067
39,132.74
40,127.94
41,62.769
42,98.784
43,100.16
44,156.07
45,103.24
46,105.82
47,107.19
48,107.02
49,131.71
50,125.02
51,62.083
52,102.9
53,101.19
54,98.955
55,126.22
56,54.022
57,94.668
58,86.436
59,74.946
60,169.27
61,103.24
62,107.02
63,101.01
64,101.36
65,98.784
66,107.19
67,94.668
68,26.926
69,58.653
70,15.263
71,101.36
72,68.086
73,103.07
74,83.863
75,3.43
76,31.728
77,54.88
78,107.02
79,103.07
80,94.154
81,103.41
82,104.44
83,107.36
84,98.27
85,102.04
86,94.84
87,102.73
88,103.07
89,107.7
90,98.27
91,103.07
92,94.668
93,85.75
94,91.067
95,94.154
96,98.098
97,86.264
98,72.888
99,19.894
100,74.946
101,98.441
102,21.781
103,94.325
104,107.7
105,103.07
106,91.41
107,98.441
108,73.402
109,102.9
110,92.267
111,83.177
112,96.04
113,99.127
114,90.038
115,102.9
116,105.3
117,92.096
118,92.267
119,107.19
120,98.441
121,101.01
122,103.59
123,98.784
124,102.9
125,75.803
126,102.39
127,107.19
128,94.325
129,96.383
130,107.19
131,86.607
132,98.441
133,53.337
134,98.441
135,107.7
136,103.24
137,94.154
138,139.26
139,79.747
140,79.405
141,104.1
142,89.695
143,98.27
144,102.04
145,107.7
146,94.154
147,107.19
148,94.154
149,94.668
150,101.7
151,107.19
152,98.27
153,102.39
154,94.84
155,78.718
156,79.062
157,120.74
158,62.255
159,98.27
160,102.39
161,107.7
162,102.39
163,107.36
164,94.154
165,103.59
166,101.01
167,94.325
168,28.126
169,51.279
170,98.27
171,103.07
172,98.784
173,94.154
174,102.56
175,94.668
176,92.096
177,107.19
178,103.07
179,98.27
180,100.33
181,94.84
182,98.441
183,99.127
184,98.441
185,97.069
186,131.03
187,93.467
188,102.73
189,107.19
190,94.154
191,107.19
192,94.325
193,107.53
194,107.36
195,102.73
196,94.325
197,93.982
198,82.834
199,93.125
200,98.441
201,33.443
202,37.044
203,16.635
204,35.672
205,47.506
206,48.191
207,17.322
208,97.584
209,103.07
210,98.441
211,98.441
212,107.19
213,107.19
214,107.36
215,92.782
216,80.262
217,94.497
218,98.955
219,86.607
220,104.1
221,107.87
222,94.84
223,95.697
224,80.262
225,90.895
226,98.784
227,84.549
228,98.955
229,102.73
230,98.784
231,100.84
232,103.59
233,107.02
234,98.955
235,100.16
236,97.755
237,98.441
238,94.84
239,103.41
240,114.56
241,94.154
242,31.042
243,57.795
244,93.811
245,96.383
246,81.119
247,91.581
248,98.955
249,81.977
250,103.07
251,114.56
252,75.975
253,127.42
254,94.154
255,35.158
256,52.136
257,90.209
258,98.784
259,36.015
260,72.545
261,73.574
262,98.441
263,95.697
264,98.784
265,98.27
266,34.643
267,53.337
268,66.885
269,107.19
270,98.441
271,107.19
272,94.154
273,85.235
274,111.13
275,90.038
276,98.955
277,85.235
278,97.755
279,33.785
280,74.603
281,37.387
282,21.266
283,58.139
284,98.441
285,115.42
286,97.584
287,106.67
288,102.9
289,98.955
290,94.154
291,139.43
292,98.955
293,107.7
294,103.59
295,107.7
296,107.02
297,101.7
298,98.955
299,93.982
300,107.19
301,94.325
302,27.44
303,38.931
304,50.764
305,20.237
306,72.373
307,104.62
308,107.19
309,88.322
310,25.382
311,75.975
312,100.5
313,106.84
314,98.784
315,101.53
316,107.02
317,94.668
318,103.07
319,94.325
320,79.405
321,10.462
322,52.993
323,100.5
324,98.441
325,54.022
326,26.754
327,65.856
328,37.73
329,40.817
330,64.141
331,39.273
332,98.27
333,120.74
334,107.19
335,109.25
336,98.955
337,95.011
338,93.467
339,138.4
340,59.682
341,112.5
342,114.39
343,85.064
344,96.212
345,102.56
346,95.183
347,136.17
348,119.36
349,102.39
350,102.56
351,94.154
352,114.73
353,73.23
354,108.9
355,103.59
356,102.21
357,94.84
358,86.436
359,86.436
360,110.27
361,68.6
362,31.556
363,53.165
364,39.273
365,69.458
366,107.36
367,113.19
368,103.41
369,98.955
370,75.975
371,98.955
372,93.296
373,94.154
374,104.79
375,94.84
376,103.59
377,114.56
378,94.154
379,122.79
380,111.82
381,90.724
382,98.27
383,98.441
384,86.093
385,102.39
386,98.27
387,96.555
388,98.27
389,98.441
390,35.158
391,60.539
392,36.358
393,103.59
394,94.325
395,107.7
396,99.127
397,102.56
398,107.19
399,98.441
400,94.84
401,105.47
402,135.66
403,102.9
404,102.56
405,98.441
406,94.84
407,107.19
408,94.668
409,98.613
410,99.984
411,106.67
412,94.154
413,104.62
414,110.45
415,94.325
416,103.59
417,98.27
418,107.02
419,82.32
420,111.99
421,107.19
422,113.02
423,94.325
424,104.62
425,35.843
426,53.337
427,21.781
428,28.64
429,45.962
430,61.74
431,19.208
432,39.96
433,71.344
434,100.16
435,93.125
436,107.19
437,99.984
438,102.73
439,96.726
440,103.07
441,107.36
442,98.27
443,96.726
444,102.56
445,92.953
446,103.07
447,98.613
448,107.19
449,104.1
450,98.955
451,98.955
452,98.441
453,88.665
454,99.813
455,54.022
456,115.93
457,98.955
458,91.238
459,94.325
460,103.07
461,98.441
462,107.19
463,136.51
464,117.31
465,98.955
466,107.36
467,107.36
468,98.955
469,75.632
470,102.56
471,95.868
472,94.325
473,98.784
474,71.859
475,93.811
476,94.325
