index,distance
0,81.291
1,81.291
2,26.068
3,104.62
4,78.89
5,81.291
6,81.291
7,103.41
8,81.119
9,81.291
10,102.73
11,81.291
12,91.238
13,105.13
14,85.064
15,63.626
16,109.93
17,81.291
18,87.293
19,99.299
20,87.979
21,56.938
22,81.119
23,104.96
24,26.926
25,74.603
26,58.139
27,201
28,103.07
29,20.752
30,68.6
31,62.426
32,102.39
33,73.917
34,81.119
35,104.62
36,81.291
37,61.912
38,85.407
39,103.76
40,73.574
41,81.291
42,75.975
43,103.41
44,38.244
45,81.291
46,101.7
47,84.549
48,60.711
49,85.235
50,104.44
51,2.9155
52,50.936
53,74.603
54,81.119
55,101.7
56,81.291
57,77.175
58,102.21
59,81.291
60,365.29
61,101.36
62,81.291
63,81.291
64,64.655
65,92.782
66,81.291
67,58.996
68,89.351
69,100.5
70,81.291
71,81.291
72,101.53
73,40.131
74,77.004
75,81.291
76,86.093
77,68.429
78,85.578
79,121.76
80,40.303
81,77.175
82,80.09
83,81.463
84,85.407
85,107.19
86,81.463
87,26.583
88,89.351
89,77.175
90,101.36
91,81.291
92,63.284
93,72.888
94,85.407
95,97.584
96,83.863
97,77.004
98,81.291
99,81.291
100,62.083
101,82.32
102,83.349
103,81.291
104,87.122
105,97.241
106,77.175
107,71.687
108,81.291
109,98.441
110,81.291
111,81.291
112,76.66
113,97.755
114,81.291
115,72.03
116,80.948
117,85.407
118,98.098
119,87.808
120,77.175
121,81.291
122,81.291
123,65.17
124,90.209
125,80.434
126,81.291
127,101.7
128,96.383
129,81.463
130,75.46
131,81.119
132,92.438
133,88.151
134,81.291
135,99.299
136,81.463
137,70.83
138,85.407
139,89.866
140,65.856
141,81.291
142,98.613
143,81.291
144,37.387
145,90.895
146,87.122
147,81.291
148,81.291
149,76.66
150,118.85
151,43.733
152,85.407
153,101.7
154,81.291
155,88.665
156,100.33
157,84.206
158,77.175
159,102.21
160,81.463
161,24.353
162,72.03
163,81.291
164,97.584
165,81.291
166,81.291
167,66.885
168,96.04
169,77.004
170,85.407
171,81.463
172,98.955
173,91.067
174,81.291
175,97.926
176,81.463
177,71.001
178,81.291
179,95.011
180,86.607
181,85.407
182,98.784
183,77.175
184,10.119
185,81.291
186,81.291
187,96.726
188,85.578
189,85.578
190,122.79
191,43.389
192,85.407
193,102.9
194,81.463
195,80.262
196,81.463
197,98.784
198,81.291
199,71.516
200,85.235
201,126.74
202,62.769
203,80.776
204,98.098
205,88.837
206,81.291
207,123.82
208,81.291
209,85.407
210,81.291
211,83.177
212,81.291
213,85.407
214,99.127
215,81.291
216,78.89
217,85.407
218,123.99
219,63.455
220,77.175
221,98.613
222,93.296
223,81.291
224,101.7
225,77.175
226,65.17
227,81.119
228,98.441
229,81.463
230,85.407
231,85.578
232,99.47
233,81.463
234,69.115
235,85.407
236,94.154
237,61.568
238,76.66
239,99.47
240,81.463
241,67.571
242,81.119
243,98.955
244,81.463
245,85.578
246,81.291
247,85.922
248,81.463
249,76.66
250,85.407
251,99.47
252,81.291
253,84.035
254,81.291
255,98.441
256,81.291
257,73.917
258,85.407
259,91.067
260,65.684
261,81.291
262,98.613
263,81.291
264,39.102
265,91.067
266,86.436
267,77.175
268,77.175
269,81.805
270,118.16
271,81.463
272,85.407
273,77.175
274,85.75
275,81.463
276,66.027
277,98.784
278,81.291
279,69.801
280,71.859
281,101.01
282,81.463
283,64.141
284,86.264
285,100.84
286,33.957
287,77.004
288,78.89
289,103.76
290,72.888
291,77.004
292,88.837
293,62.083
294,77.175
295,102.56
296,81.291
297,22.295
298,86.436
299,81.119
300,101.7
301,81.463
302,69.115
303,92.953
304,94.154
305,58.653
306,81.291
307,99.813
308,4.802
309,85.578
310,77.175
311,105.99
312,105.47
313,81.291
314,99.642
315,81.291
316,81.291
317,73.745
318,98.784
319,97.584
320,81.291
321,88.322
322,88.151
323,81.291
324,77.346
325,81.291
326,96.212
327,81.463
328,65.17
329,85.407
330,97.069
331,70.83
332,81.291
333,85.578
334,98.098
335,81.291
336,71.687
337,79.747
338,81.291
339,97.755
340,89.18
341,101.19
342,86.436
343,81.463
344,81.119
345,74.088
346,121.76
347,41.503
348,47.334
349,81.291
350,105.47
351,80.948
352,59.339
353,77.175
354,80.948
355,69.115
356,81.119
357,526.85
358,81.291
359,81.291
360,69.115
361,102.04
362,40.646
363,37.044
364,81.291
365,63.112
366,102.39
367,81.291
368,62.769
369,87.636
370,95.354
371,58.824
372,77.175
373,101.01
374,99.813
375,81.463
376,85.407
377,60.882
378,101.7
379,81.463
380,37.558
381,87.293
382,93.639
383,60.539
384,81.291
385,102.39
386,42.018
387,80.605
388,85.407
389,97.584
390,54.88
391,85.407
392,123.65
393,42.532
394,77.004
395,81.291
396,93.125
397,60.711
398,81.291
399,120.05
400,44.762
401,77.175
402,81.291
403,87.293
404,66.199
405,81.291
406,120.91
407,50.936
408,56.424
409,81.291
410,102.39
411,85.578
412,81.291
413,141.32
414,81.291
415,81.291
416,61.74
417,100.33
418,81.291
419,7.889
420,73.402
421,81.291
422,99.813
423,42.703
424,81.119
425,87.636
426,62.941
427,81.291
428,102.04
429,41.846
430,46.305
431,81.291
432,105.64
433,81.291
434,65.684
435,77.004
436,79.233
437,81.291
438,81.291
439,81.119
440,101.53
441,81.463
442,80.605
443,81.291
444,100.84
445,81.291
446,64.484
447,89.695
448,96.897
449,85.578
450,81.291
451,119.36
452,12.691
453,81.291
454,100.16
455,81.291
456,89.523
457,77.175
458,85.578
459,81.463
460,85.407
461,99.984
462,81.291
463,84.035
464,99.813
465,81.805
466,81.119
467,81.119
468,101.53
469,72.716
470,82.663
471,81.291
472,100.67
473,81.291
474,67.228
475,88.151
476,63.112
477,101.87
478,81.291
479,65.17
480,90.209
481,93.467
482,59.51
483,81.291
484,120.39
485,43.733
486,45.276
487,80.948
488,106.5
489,81.463
490,60.025
491,77.004
492,100.67
493,81.291
494,81.291
495,81.119
496,102.04
497,81.291
498,78.89
499,81.291
