index,distance
0,0.43064,
1,0.36341,
2,0.38536,
3,0.36358,
4,0.3869,
5,0.39411,
6,0.36324,
7,0.34163,
8,0.36341,
9,0.35929,
10,0.36358,
11,0.34574,
12,0.35895,
13,0.3821,
14,0.36358,
15,0.36358,
16,0.35912,
17,0.39599,
18,0.36341,
19,0.35929,
20,0.34317,
21,0.36341,
22,0.36341,
23,0.36375,
24,0.36341,
25,0.38502,
26,0.36358,
27,0.37901,
28,0.37627,
29,0.35895,
30,0.35878,
31,0.36787,
32,0.36358,
33,0.38587,
34,0.35878,
35,0.36341,
36,0.35912,
37,0.35878,
38,0.36941,
39,0.33494,
40,0.36358,
41,0.38725,
42,0.36787,
43,0.34146,
44,0.37816,
45,0.35895,
46,0.37816,
47,0.32997,
48,0.35895,
49,0.38673,
50,0.2341,
51,0.34952,
52,0.33871,
53,0.35912,
54,0.35878,
55,0.35895,
56,0.35895,
57,0.35895,
58,0.36821,
59,0.35895,
60,0.38485,
61,0.3677,
62,0.36873,
63,0.37901,
64,0.35895,
65,0.35895,
66,0.35878,
67,0.35895,
68,0.35895,
69,0.38862,
70,0.35895,
71,0.3701,
72,0.37336,
73,0.35895,
74,0.35895,
75,0.33168,
76,0.34626,
77,0.37267,
78,0.36324,
79,0.38245,
80,0.34592,
81,0.35895,
82,0.35895,
83,0.36341,
84,0.36341,
85,0.38159,
86,0.36324,
87,0.37473,
88,0.37061,
89,0.36341,
90,0.35912,
91,0.35912,
92,0.37456,
93,0.38948,
94,0.35912,
95,0.35912,
96,0.36581,
97,0.35895,
98,0.36324,
99,0.35895,
100,0.35895,
101,0.40011,
102,0.35878,
103,0.35929,
104,0.3701,
105,0.35878,
106,0.35929,
107,0.32276,
108,0.35878,
109,0.38279,
110,0.36341,
111,0.36204,
112,0.3761,
113,0.36341,
114,0.35912,
115,0.35895,
116,0.35929,
117,0.39068,
118,0.35878,
119,0.35895,
120,0.37421,
121,0.35089,
122,0.36341,
123,0.36358,
124,0.36358,
125,0.37936,
126,0.35895,
127,0.35895,
128,0.36581,
129,0.35895,
130,0.38039,
131,0.33528,
132,0.35929,
133,0.39599,
134,0.35895,
135,0.35895,
136,0.37301,
137,0.35878,
138,0.35912,
139,0.32842,
140,0.35912,
141,0.39462,
142,0.36341,
143,0.35895,
144,0.36341,
145,0.35895,
146,0.35895,
147,0.35878,
148,0.36358,
149,0.37593,
150,0.35895,
151,0.38159,
152,0.36272,
153,0.35878,
154,0.35895,
155,0.35895,
156,0.35895,
157,0.36341,
158,0.36358,
159,0.37198,
160,0.36667,
161,0.36341,
162,0.36358,
163,0.36341,
164,0.36358,
165,0.39222,
166,0.35003,
167,0.36752,
168,0.34334,
169,0.35895,
170,0.36358,
171,0.36358,
172,0.35912,
173,0.3857,
174,0.35912,
175,0.37696,
176,0.37061,
177,0.36358,
178,0.35895,
179,0.36787,
180,0.36341,
181,0.41537,
182,0.36358,
183,0.37764,
184,0.3442,
185,0.35895,
186,0.35912,
187,0.35895,
188,0.35912,
189,0.35895,
190,0.35895,
191,0.36341,
192,0.3689,
193,0.35929,
194,0.35912,
195,0.36838,
196,0.35946,
197,0.36855,
198,0.37919,
199,0.36341,
200,0.36907,
201,0.35895,
202,0.35912,
203,0.35895,
204,0.35895,
205,0.35895,
206,0.36341,
207,0.37147,
208,0.36598,
209,0.35912,
210,0.35929,
211,0.3346,
212,0.35895,
213,0.35912,
214,0.35895,
215,0.37627,
216,0.34489,
217,0.35895,
218,0.35895,
219,0.35929,
220,0.36358,
221,0.38708,
222,0.35655,
223,0.35912,
224,0.36975,
225,0.35895,
226,0.35895,
227,0.35895,
228,0.35895,
229,0.38656,
230,0.36341,
231,0.37661,
232,0.37541,
233,0.36358,
234,0.36358,
235,0.32636,
236,0.36358,
237,0.38708,
238,0.35929,
239,0.3466,
240,0.37576,
241,0.36358,
242,0.36358,
243,0.32654,
244,0.35929,
245,0.39394,
246,0.35912,
247,0.38056,
248,0.34334,
249,0.36358,
250,0.36358,
251,0.36358,
252,0.36358,
253,0.38742,
254,0.35912,
255,0.36341,
256,0.36427,
257,0.35912,
258,0.35912,
259,0.35912,
260,0.35912,
261,0.35929,
262,0.36358,
263,0.37781,
264,0.36975,
265,0.35946,
266,0.36358,
267,0.35929,
268,0.37524,
269,0.37267,
270,0.35878,
271,0.34403,
272,0.35929,
273,0.35895,
274,0.35929,
275,0.29807,
276,0.35895,
277,0.39394,
278,0.36341,
279,0.35929,
280,0.35895,
281,0.35895,
282,0.36358,
283,0.35895,
284,0.35912,
285,0.38828,
286,0.36341,
287,0.35895,
288,0.36993,
289,0.35895,
290,0.35895,
291,0.36341,
292,0.35895,
293,0.39085,
294,0.35929,
295,0.36907,
296,0.3749,
297,0.35895,
298,0.36341,
299,0.35895,
300,0.35912,
301,0.39051,
302,0.36341,
303,0.34317,
304,0.3761,
305,0.35878,
306,0.35929,
307,0.35878,
308,0.36375,
309,0.35912,
310,0.35912,
311,0.35895,
312,0.35895,
313,0.36341,
314,0.36358,
315,0.35929,
316,0.32825,
317,0.36341,
318,0.38245,
319,0.35912,
320,0.36358,
321,0.3466,
322,0.35929,
323,0.35929,
324,0.35912,
325,0.35895,
326,0.38828,
327,0.36358,
328,0.37661,
329,0.37593,
330,0.35895,
331,0.35895,
332,0.35895,
333,0.35895,
334,0.36358,
335,0.35895,
336,0.35912,
337,0.36547,
338,0.35895,
339,0.37867,
340,0.3466,
341,0.36341,
342,0.36358,
343,0.35912,
344,0.36975,
345,0.37078,
346,0.35912,
347,0.36341,
348,0.35912,
349,0.36341,
350,0.33357,
351,0.35929,
352,0.39411,
353,0.36341,
354,0.35912,
355,0.37644,
356,0.35895,
357,0.37816,
358,0.34574,
359,0.36358,
360,0.37147,
361,0.35895,
362,0.35878,
363,0.33906,
364,0.35895,
365,0.36341,
366,0.32499,
367,0.35912,
368,0.35449,
369,0.35895,
370,0.37541,
371,0.37147,
372,0.35878,
373,0.35912,
374,0.35895,
375,0.35878,
376,0.39445,
377,0.35895,
378,0.35895,
379,0.3761,
380,0.36289,
381,0.35895,
382,0.32774,
383,0.35895,
384,0.39565,
385,0.34523,
386,0.3526,
387,0.37558,
388,0.36752,
389,0.36307,
390,0.36324,
391,0.36307,
392,0.38296,
393,0.36307,
394,0.37524,
395,0.3665,
396,0.36307,
397,0.36307,
398,0.36307,
399,0.36289,
400,0.39239,
401,0.35878,
402,0.35878,
403,0.36752,
404,0.38124,
405,0.35895,
406,0.35878,
407,0.35912,
408,0.39599,
409,0.35878,
410,0.35878,
411,0.3665,
412,0.36324,
413,0.36358,
414,0.33031,
415,0.35878,
416,0.3881,
417,0.35878,
418,0.37216,
419,0.36444,
420,0.35878,
421,0.37901,
422,0.33391,
423,0.35895,
424,0.39205,
425,0.35878,
426,0.35895,
427,0.36564,
428,0.35878,
429,0.36324,
430,0.35895,
431,0.36752,
432,0.39359,
433,0.35878,
434,0.35878,
435,0.37456,
436,0.37216,
437,0.36289,
438,0.36307,
439,0.36324,
440,0.43098,
441,0.36993,
442,0.36564,
443,0.37216,
444,0.35895,
445,0.35895,
446,0.33271,
447,0.35912,
448,0.39274,
449,0.35895,
450,0.37336,
451,0.36547,
452,0.35878,
453,0.35895,
454,0.36341,
455,0.35895,
456,0.38227,
457,0.36341,
458,0.3406,
459,0.35912,
460,0.35929,
461,0.35912,
462,0.35912,
463,0.35929,
464,0.37113,
465,0.35912,
466,0.37747,
467,0.37661,
468,0.3725,
469,0.36358,
470,0.35912,
471,0.35895,
472,0.42978,
473,0.36358,
474,0.37576,
475,0.36684,
476,0.36358,
477,0.35929,
478,0.35895,
479,0.35929,
480,0.39325,
481,0.35929,
482,0.37095,
483,0.3797,
484,0.36375,
485,0.36341,
486,0.35929,
487,0.36049,
488,0.36632,
489,0.3677,
490,0.42052,
491,0.37558,
492,0.37061,
493,0.37181,
494,0.35912,
495,0.35895,
496,0.36752,
497,0.35895,
498,0.35912,
499,0.35878,
500,0.36495,
501,0.36547,
502,0.38193,
503,0.35878,
504,0.36752,
505,0.36341,
506,0.39068,
507,0.36341,
508,0.37987,
509,0.36564,
510,0.38107,
511,0.3677,
512,0.33168,
513,0.36324,
514,0.349,
515,0.3677,
516,0.3773,
517,0.37558,
518,0.36289,
519,0.3677,
520,0.36752,
521,0.3677,
522,0.42052,
523,0.37387,
524,0.37095,
525,0.36581,
526,0.36324,
527,0.36324,
528,0.36341,
529,0.36324,
530,0.39136,
531,0.35346,
532,0.33803,
533,0.36324,
534,0.35895,
535,0.35912,
536,0.33906,
537,0.36341,
538,0.39634,
539,0.35912,
540,0.3677,
541,0.33957,
542,0.35929,
543,0.35895,
544,0.33117,
545,0.3677,
546,0.37078,
547,0.36341,
548,0.36358,
